frame,t_s,est_X_mm,est_Y_mm,tracked_points,inlier_ratio,roi_visible,flags
0,0.0000,0.0217,0.0019,0,0.0000,0.6101,
1,0.0168,0.0217,0.0019,1998,1.0000,0.6101,
2,0.0337,0.0217,0.0019,1997,1.0000,0.6101,
3,0.0505,0.0216,0.0019,1998,1.0000,0.6100,
4,0.0673,0.0217,0.0019,2000,1.0000,0.6093,
5,0.0842,0.0205,0.0016,1999,0.9995,0.6093,
6,0.1010,0.0205,0.0016,1998,1.0000,0.6092,
7,0.1178,0.0205,0.0016,2000,1.0000,0.6099,
8,0.1347,0.0203,0.0015,2000,1.0000,0.6096,
9,0.1515,0.0202,0.0014,1999,1.0000,0.6100,
10,0.1684,0.0175,0.0014,1999,1.0000,0.6097,
11,0.1852,0.0175,0.0014,2000,1.0000,0.6087,
12,0.2020,0.0175,0.0014,1999,1.0000,0.6100,
13,0.2189,0.0175,0.0014,2000,1.0000,0.6100,
14,0.2357,0.0175,0.0015,2000,1.0000,0.6093,
15,0.2525,0.0175,0.0010,2000,1.0000,0.6093,
16,0.2694,0.0171,0.0010,1999,1.0000,0.6099,
17,0.2862,0.0171,0.0010,2000,1.0000,0.6099,
18,0.3030,0.0171,0.0010,2000,1.0000,0.6094,
19,0.3199,0.0165,0.0008,2000,1.0000,0.6087,
20,0.3367,0.0143,0.0004,2000,1.0000,0.6092,
21,0.3535,0.0143,0.0005,2000,1.0000,0.6087,
22,0.3704,0.0143,0.0006,2000,1.0000,0.6097,
23,0.3872,0.0143,0.0006,1999,1.0000,0.6099,
24,0.4041,0.0138,0.0005,1999,1.0000,0.6094,
25,0.4209,0.0136,0.0004,2000,1.0000,0.6087,
26,0.4377,0.0135,0.0005,2000,1.0000,0.6103,
27,0.4546,0.0135,0.0005,2000,1.0000,0.6100,
28,0.4714,0.0135,0.0005,1999,1.0000,0.6107,
29,0.4882,0.0132,0.0007,1998,1.0000,0.6091,
30,0.5051,0.0090,0.0002,1994,1.0000,0.6100,
31,0.5219,0.0090,0.0001,2000,1.0000,0.6100,
32,0.5387,0.0089,0.0001,2000,1.0000,0.6104,
33,0.5556,0.0088,0.0001,2000,1.0000,0.6103,
34,0.5724,0.0088,0.0001,2000,1.0000,0.6091,
35,0.5892,0.0084,0.0001,2000,1.0000,0.6092,
36,0.6061,0.0083,0.0001,2000,1.0000,0.6086,
37,0.6229,0.0082,0.0002,2000,1.0000,0.6103,
38,0.6398,0.0081,0.0002,2000,1.0000,0.6098,
39,0.6566,0.0080,0.0001,2000,1.0000,0.6100,
40,0.6734,0.0079,0.0001,2000,1.0000,0.6097,
41,0.6903,0.0080,0.0000,1999,1.0000,0.6102,
42,0.7071,0.0079,-0.0001,2000,1.0000,0.6100,
43,0.7239,0.0078,-0.0001,2000,1.0000,0.6102,
44,0.7408,0.0078,-0.0002,2000,1.0000,0.6097,
45,0.7576,0.0072,-0.0003,2000,1.0000,0.6098,
46,0.7744,0.0072,-0.0003,2000,1.0000,0.6100,
47,0.7913,0.0073,-0.0004,2000,1.0000,0.6089,
48,0.8081,0.0071,-0.0003,2000,1.0000,0.6097,
49,0.8249,0.0070,-0.0003,2000,1.0000,0.6100,
50,0.8418,0.0069,-0.0003,1999,1.0000,0.6086,
51,0.8586,0.0068,-0.0004,2000,1.0000,0.6094,
52,0.8755,0.0068,-0.0005,2000,1.0000,0.6087,
53,0.8923,0.0064,-0.0005,2000,1.0000,0.6093,
54,0.9091,0.0063,-0.0004,2000,1.0000,0.6102,
55,0.9260,0.0063,-0.0003,1999,1.0000,0.6101,
56,0.9428,0.0063,-0.0003,2000,1.0000,0.6100,
57,0.9596,0.0051,0.0004,1998,1.0000,0.6090,
58,0.9765,0.0051,0.0004,2000,1.0000,0.6086,
